seed,strategy,pre_test_accuracy,post_test_accuracy,batch_utility,mean_individual_utility,sum_individual_utility,interaction_gap,image_reuse_rate,cluster_coverage,mean_pair_cosine_similarity,source_result
79,core_set,0.5666666666666667,0.36666666666666664,-0.2,,,,0.08499999999999996,20,0.97733258059252,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/009_stage-final_comparison_epoch-3_seed-79_strategy-core_set_lambda-0p5_budget-100/result.json
42,uncertainty,0.36666666666666664,0.7,0.3333333333333333,,,,0.06999999999999995,16,0.9226126676291178,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/001_stage-final_comparison_epoch-3_seed-42_strategy-uncertainty_lambda-0p5_budget-100/result.json
42,core_set,0.36666666666666664,0.43333333333333335,0.06666666666666671,,,,0.05500000000000005,20,0.926608070947514,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/004_stage-final_comparison_epoch-3_seed-42_strategy-core_set_lambda-0p5_budget-100/result.json
123,uncertainty,0.36666666666666664,0.7,0.3333333333333333,,,,0.09499999999999997,17,0.9727162126522927,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/011_stage-final_comparison_epoch-3_seed-123_strategy-uncertainty_lambda-0p5_budget-100/result.json
79,uncertainty,0.5666666666666667,0.8333333333333334,0.2666666666666667,,,,0.09999999999999998,18,0.9824211798108154,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/006_stage-final_comparison_epoch-3_seed-79_strategy-uncertainty_lambda-0p5_budget-100/result.json
202,cluster_diverse,0.5333333333333333,0.3333333333333333,-0.2,,,,0.09999999999999998,20,0.8762982501430271,/content/quantum rheed codex/result/professor_followup_analysis/final_comparison/jobs/followup_seed-202_strategy-cluster_diverse/result.json
202,core_set,0.5333333333333333,0.5,-0.033333333333333326,,,,0.08499999999999996,20,0.8745404646464183,/content/quantum rheed codex/result/professor_followup_analysis/final_comparison/jobs/followup_seed-202_strategy-core_set/result.json
303,core_set,0.3,0.16666666666666666,-0.13333333333333333,,,,0.08499999999999996,20,0.981399998794871,/content/quantum rheed codex/result/professor_followup_analysis/final_comparison/jobs/followup_seed-303_strategy-core_set/result.json
202,random,0.5333333333333333,0.4,-0.1333333333333333,,,,0.11499999999999999,20,0.8687769656711574,/content/quantum rheed codex/result/professor_followup_analysis/final_comparison/jobs/followup_seed-202_strategy-random/result.json
202,uncertainty,0.5333333333333333,0.3,-0.23333333333333334,,,,0.12,17,0.8724574040078192,/content/quantum rheed codex/result/professor_followup_analysis/final_comparison/jobs/followup_seed-202_strategy-uncertainty/result.json
303,random,0.3,0.5333333333333333,0.23333333333333334,,,,0.07999999999999996,20,0.9846414007553418,/content/quantum rheed codex/result/professor_followup_analysis/final_comparison/jobs/followup_seed-303_strategy-random/result.json
202,uncertainty_diversity,0.5333333333333333,0.43333333333333335,-0.09999999999999998,,,,0.11499999999999999,18,0.8734957047044949,/content/quantum rheed codex/result/professor_followup_analysis/final_comparison/jobs/followup_seed-202_strategy-uncertainty_diversity/result.json
303,cluster_diverse,0.3,0.3,0.0,,,,0.10999999999999999,20,0.9840880800137217,/content/quantum rheed codex/result/professor_followup_analysis/final_comparison/jobs/followup_seed-303_strategy-cluster_diverse/result.json
303,uncertainty,0.3,0.7,0.39999999999999997,,,,0.08499999999999996,17,0.9918441153641426,/content/quantum rheed codex/result/professor_followup_analysis/final_comparison/jobs/followup_seed-303_strategy-uncertainty/result.json
303,uncertainty_diversity,0.3,0.5,0.2,,,,0.07999999999999996,18,0.9889918098552238,/content/quantum rheed codex/result/professor_followup_analysis/final_comparison/jobs/followup_seed-303_strategy-uncertainty_diversity/result.json
